제목,저자,발행기관,학술지명,권호사항,발행연도,작성언어,주제어,KDC,등재정보,자료형태,발행기관 URL,수록면,KCI 피인용횟수,비고,중단사유,제공처,소장기관,국문 초록 (Abstract),다국어 초록 (Multilingual Abstract),목차,exclude_reason
한국어 어휘 교육 방안 연구의 동향 분석 : 학위논문을 중심으로 = An analysis of trends in Korean vocabulary teaching method -Focused on theses-.,오은화 ( Oh Eun Hwa ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.58No.-[2020]
",2020,,"한국어 어휘 교육,Korean Vocabulary Education,한국어 어휘 교육 방안,Korean Vocabulary Teaching Method,한국어 어휘 교육 방안 연구,research on Korean Vocabulary Teaching Method,한국어 어휘 교육 방안 동향 분석,analysis of trends in Korean Vocabulary Teaching Method,연구 동향 분석,analysis of research trends",700,KCI등재,"학술저널
",,57-82,2,,," KCI, &nbsp;&nbsp; KISS",,,"The purpose of this study was to research what direction the Korean vocabulary education had to be steered by identifying the trends of research on Korean vocabulary education. Initially, I searched the RISS with the keyword “Korean vocabulary education” and organized the relevant data by year, learner characteristics, and vocabulary type etc. Through the data analysis, I was able to identify several trends. The trend by could be divided into three different time periods depending on the trend of study. Although research on learner proficiency was evenly represented, the studies on the nationality of target learners were mostly represented by Chinese while studies on the types of learners were mostly represented by married foreign immigrant women. Overall, Traditional Chinese (Hanja) contributed the largest proportion of research and I incorporated a variety of research methods such as teaching material analysis, experimental research and surveys in my research. As for the measures for teaching, research on teaching methods were the most popular. Through these results, I propose that more research needs to be done based on the geography of language, proficiency levels, special purposes, and various languages while the measures for teaching be objectively evaluated through this research.",,short_abstract
한국어 어휘 교육 연구를 위한 이론의 고찰 = A Theories Review for the Korean Vocabulary Education Study as a Second Language.,이유경,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.20No.1[2009]
",2009,Korean,"vocabulary education,the lexical approach,vocabulary knowledge,explicit teaching,implicit teaching,separating vocabulary,multi-word chunks,corpus,vocabulary learning strategies,어휘 교육,어휘 중심 교수법,어휘 지식,명시적 교수,비명시적 교수,어휘구분,덩어리 어휘,코퍼스,어휘학습전략",,KCI등재,"학술저널
",http://www.iakle.com,135-160,18,,," KCI, &nbsp;&nbsp; 스콜라",경희대학교 중앙도서관,,"There are two aims in this paper. Frist is to present the condition and prospect of Korean vocabulary education for foreigners through traditional teaching approach. Second is to find how to implement various approaches into Korean vocabulary education study. Vocabulary, in recent years, has assumed a more important role in second language acquisition, especially is influenced by the communicative approach, the lexical approach, and the development of corpus-linguistics. There is a need for review of current trends of vocabulary education studies in order to keep abreast of various studies. Six topics are discussed in this article: (1) vocabulary knowledge (2) explicit teaching and implicit learning vocabulary acquisition process and mental lexicon, (3) separating vocabulary, (4) multi-word chunks, (5) corpus, and (6) vocabulary learning strategies.",,short_abstract
한국어 교육 어휘의 선정과 배열 연구 동향,증기(Zeng Qi),한국어문화교육학회,한국어문화교육(The Education of Korean Language and Culture),"Vol.17No.2[2024]
",2024,,"한국어 어휘,한국어 교육 어휘 선정,연구 동향,연구사,Korean Vocabulary,Vocabulary Selection for Korean Education,Research Trends,Research History",370,,"학술저널
",,1-26,,,, 스콜라,,,,"1. 서론
2. 한국어 교육 어휘의 개념 및 범위
3. 연구 방법 및 절차
4. 연구 동향 분석
5. 결론 및 제언",short_abstract
한국어 어휘의 특징과 어휘교육,조현용(Hyun Yong Cho),국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.10No.1[1999]
",1999,,,710,KCI등재,"학술저널
",http://www.iakle.com,265-281,,,, 스콜라,,,,"1. 머리말
2. 한국어 어휘교육의 연구 현황
3. 한국어 어휘의 특징
4. 특징에 따른 어휘 교육
5. 맺음말
참고 문헌
",short_abstract
학문 목적 한국어교육을 위한 어휘 선정 방법 연구 - 한국어교육 전공 기본 어휘를 중심으로,안혜진,한국어교육학회,한국어교육학회 학술발표논문집(N/A),"Vol.2021No.-[2021]
",2021,,,700,,"학술저널
",,157-169,,,, KISS,,,,,short_abstract
한국어 어휘 교육 항목 선정을 위한 기초연구 = The fundamental Study for Selecting Items of Lexical Education in Korean Language,김지영,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.15No.2[2004]
",2004,English,"items of lexical education,lexical error analysis,form of vocabulary,Meaning of vocabulary,usage of vocabulary,.어휘 교육 항목,어휘 오류 분석,어휘의 형태,어휘의 의미,어휘의 사용",,KCI등재,"학술저널
",http://www.iakle.com,93-114,21,,," KCI, &nbsp;&nbsp; 스콜라",,,"The purpose of this essay is to select items of lexical education by analyzing lexical errors of Korean Language learners. There have been various and concrete discussions on lexical education in Korean Language. But most of them were about the method of lexical education, few were about items of lexical education. Therefore, this essay analyzed error types of learners into form, meaning, usage and selected items of lexical education in Korean Language. In form, part of speech information, affix combination information, type of verb information and correlative information were selected, in meaning, seme of vocabulary, meaning information such as hyponymy, antonymy and synonymy and degree of meaning information were selected and in usage, register information and co-occurrence restriction information were selected.",,short_abstract
한국어교육용 중급 어휘 선정에 대한 연구 = A Study on Selection of Intermediate Level Vocabulary with Korean Educational Purpose,강현화 ( Hyoun Hwa Kang ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.40No.-[2014]
",2014,,"중급 숙달도,intermediate level,빈도,frequency,어휘목록,vocabulary list,타당도,validity,말뭉치,corpus,한국어교육자료,Korean language materials",700,KCI등재,"학술저널
",,2-49,,,," KCI, &nbsp;&nbsp; KISS",연세대학교 학술문화처 도서관,,"Teaching Korean as a Foreign Language, 40, 1~48. The purpose of this study is to select the intermediate level of vocabulary for the Korean learners with general purpose. For this, the concept and scope of ‘intermediate level’ should be first determined. To this end, this study reviews the curriculum of Korean educational institutions and the Korean language proficiency tests. This study also investigates the vocabulary list regarded as intermediate level by previous studies.This study specifically proceeds with selection process of intermediate level vocabulary as follows. For intermediate level determination, this study first compares the range between a list of vocabulary for Korean education purpose suggested by previous studies and vocabulary used in Korean language materials and Korean language proficiency tests. Then this study prepares the preliminary vocabulary list. Second, this study decides whether or not individual words included in the preliminary list be chosen according to the frequency data of the general corpus, vocabulary list for Korean language education purpose, vocabularies used in the Korean language materials and Korean language proficiency tests. Third, this study verifies the validity of a list selected as intermediate level by key vocabulary group. Finally, objective reviews on the vocabulary list are made by the Korean teachers and professionals, the final list of 3,855 vocabulary is prepared.(Yonsei University)",,short_abstract
한국어 어휘 교육 연구의 방향 모색 = The Exploratory Study of Korean Vocabulary Research.,원미진,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.22No.2[2011]
",2011,Korean,"lexical competence,vocabulary size,vocabulary knowledge,vocabulary instruction,second language acquisition,어휘 능력,어휘수,어휘지식,어휘 교수,제 2 언어습득",,KCI등재,"학술저널
",http://www.iakle.com,255-279,14,,," KCI, &nbsp;&nbsp; 스콜라",,,"The article overviews current research on second language learning to provide some implications for Korean vocabulary education. First, the study reviews research about vocabulary size to discuss the starting point of vocabulary research. Previous vocabulary instruction research and vocabulary acquisition theory support the background theory for effective instruction and provide implications for the research area of Korean vocabulary education. I reviewed the selected reports that describe the current trend of vocabulary instruction research to explore the conflicting issues and to determine what the most effective method of instruction may be. The study also points out recent trends in vocabulary research of the Korean language compared to recent trends in second language vocabulary research. In spite of much research of vocabulary focused on the characteristics of Korean vocabulary and vocabulary instruction as effective activities, many empirical and theoretical studies are needed to answer the unsolved issues in Korean vocabulary research.",,short_abstract
한국어 교육용 어휘 교재 개발 연구 = A Study on Developing Korean Vocabulary Textbook for Foreigners,오미정,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.15No.3[2004]
",2004,Korean,"textbook development,semantic classification,learner's dictionary,basic vocabulary of Korean Education for foreigners,Korean textbook,Korean vocabulary textbook,교재 개발,의미 분류,학습 사전,한국어 교육용 기본어휘,한국어 교재,한국어 어휘 교재",,KCI등재,"학술저널
",http://www.iakle.com,145-167,16,,," KCI, &nbsp;&nbsp; 스콜라",,,"Although there is a great demand for Korean education for foreigners, little research has been undertaken on the Korean lexical education. In this study, we propose the necessity of developing Korean vocabulary textbook and essential conditions of it. And we analyze the contents and the system of the Korean studying vocabulary list(2003) of The National Academy of The Korean Language. This analysis step is necessary to design a Korean vocabulary textbook. And we design a Korean basic vocabulary textbook(Near publication), which has the system of semantic classification. We show a section of it in this study.",,short_abstract
PWIM 활용 한국어 초급 어휘교육 = Vocabulary Education for Korean Beginner Level Using PWIM,"정연숙,이병운",국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.29No.3[2018]
",2018,Korean,"PWIM(Picture Words Inductive Model),초급 어휘교육(Vocabulary Education for the Beginner Level),시각 자료(Visual Materials),귀납적 추론(Inductive Inference),구성주의 (Constructivism),상황학습(Anchored Instruction),PWIM(Picture Words Inductive Model),초급 어휘교육,시각 자료,귀납적 추론,구성주의,상황학습,PWIM(Picture Words Inductive Model),Vocabulary Education for the Beginner Level,Visual Materials,Inductive Inference,Constructivism,Anchored Instruction",,KCI등재,"학술저널
",http://www.iakle.com,325-344,1,,," KCI, &nbsp;&nbsp; 스콜라",이화여자대학교 중앙도서관,,"The purpose of this study is to summarize PWIM (Picture Words Inductive Model) which is one of learner-centered vocabulary teaching-learning models, and suggest ways to implement them in Korean language education. The pictures that are used in the Korean language education field help visualize the specific shape, color, and texture of the vocabulary that is the learning target; thus, helping beginner learners to recognize the meaning of the sound. Visual material stimulates the intrinsic schema of the learner and not only becomes a ‘bridge’ connecting the mother tongue and the Korean language, but also reduces difficulty in learning a foreign language because of the ambiguity between meaning and sound in Korean and all languages. PWIM shows commonality with existing learning methods in that it uses visual materials. However, in the past, the teacher-centered learning method has only imitated the teacher because the teacher showed a piece-wise, out-of-life photograph and taught the word. PWIM is a learner-centered learning method that stimulates learners to find vocabulary on their own by presenting visual information reflecting the context. In this paper, PWIM is more suitable for beginner learners who are learning specific concrete vocabulary such as personal identity (mainly objects), residence and environment, daily life, shopping, health, climate, and traffic. The purpose of this study was to develop a method of using PWIM suitable for Korean language learners and teaching procedures. The researchers rearranged the previous research into three steps: brainstorming and word organization, generalization of semantic and morphological rules of extracted words, and application of words. In the case of PWIM, you can go through all three steps at once. Otherwise, it is possible to divide the three steps of PWIM and teach at different times. It is expected that teachers and learners using the PWIM teaching-learning method, which uses realistic visual materials, will enable making an effective class together. (Pusan National University)",,short_abstract
한국어 어휘 교육과 학습과 어휘 통계 정보 = Vocabulary Teaching and Lexico-statistic Information,한영균,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.18No.3[2007]
",2007,Korean,"어휘 교육,어휘 통계 정보,굴절형 빈도 용례집,단어족 빈도 사전,연어사전(,vocabulary teaching,lexico-statistic information,Word-form frequency book with examples,word family frequency dictionary,collocation dictionary",,KCI등재,"학술저널
",http://www.iakle.com,249-272,12,,," KCI, &nbsp;&nbsp; 스콜라",,,"The aim of this paper is to clarify that lexico-statistic informations play very important role in Korean language education, especially in vocabulary teaching and learning. In chapter 2, author summarized how lexico-statistic informations can be used to solve problems in foreign/second language vocabulary teaching/ learning. They are as follows ; ① How many words are needed to learn a foreign language, ② Which word are to be taught first, ③ Are there more difficult words to learn than other words? If, there are, can we grade them? ④ How to deal with polysemous words? ⑤ Are there any differences in written and spoken language in vocabulary? In Chapter 3, I have shown three kinds of basic material for Korean vocabulary teaching/learning can be compiled using corpus based lexico-statistic information. They are ① Word-form frequency book with examples, ② Word Family Frequency dictionary ③ Collocation Dictionary based on Corpora.",,short_abstract
한국어 어휘교육 실험연구에 대한 연구방법론적 고찰 = A critical review of researching methods of experimental studies in Korean vocabulary education.,이승은,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.22No.4[2011]
",2011,Korean,"어휘 교육,연구방법론,어휘지식평가,vocabulary education,research methods,vocabulary knowledge measurements",,KCI등재,"학술저널
",http://www.iakle.com,321-346,9,,," KCI, &nbsp;&nbsp; 스콜라",,,"This paper attempts to review current vocabulary research in Korean as a second language. A total of 20 theses or artivles, selected from the RISS, were identified and analyzed. It first provides a comprehensive overview of main issues of vocabulary research methodology of second language acquisition and then critically reviews the relevant research Korean studies in terms of the following issues: (1) triangulation in research (2) participants (3) target lexical items and (4) measurement methods. In doing so, this review also provides an interpretation of the research findings and concludes with suggestions for future research.",,short_abstract
확장 의미 단위(EUM) 기반 한국어 어휘 교육 방안 탐구 = A Study on Vocabulary Education of Korean Language Using EUM,동뢰 ( Dong Lei ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.56No.-[2020]
",2020,,"어휘 교육,확장된 의미 단위,연접범주,의미적 선호,의미적 운율,vocabulary education,extended units of meaning,colligation,semantic preference,semantic prosody",700,KCI등재,"학술저널
",,105-132,1,,," KCI, &nbsp;&nbsp; KISS",,,"It is well known that learning vocabulary is the most important factor when studying a foreign language. Many students who major in Korean language abroad, however, have difficulties learning Korean because they have few chances to be exposed to Korean-speaking circumstances. The purpose of this study is to reaffirm the effectiveness of EUM-based learning and propose more innovative educational methods. Two groups of students were drawn from Korean majors in a university in Qingdao for a semester. 'The experimental group' was guided by EUM, while 'the controlling group' was taught by traditional methods. Through analysing examination scores of pre-test and post-test, this study concludes as follows; First, EUM-based learning of Korean vocabulary is much effective for both intermediate and high level students. Second, EUM-based learning strategy is more effective to improve vocabulary acquisition than using traditional materials and methods. Third, the result of some tests shows that students have significantly improved their Korean language skill with this EUM-based lesson plans. Finally, the EUM-based learning method encourages students to study Korean more actively outside the classroom.",,short_abstract
‘한국어 어휘 교육 연구의 동향 분석’에 대한 토론문,신명선,한국어교육학회,한국어교육학회 학술발표논문집(N/A),"Vol.2024No.-[2024]
",2024,,,700,,"학술저널
",,193-195,,,, KISS,,,,,short_abstract
학문 목적 한국어교육을 위한 어휘 선정 방법 연구에 대한 토론문,홍고은,한국어교육학회,한국어교육학회 학술발표논문집(N/A),"Vol.2021No.-[2021]
",2021,,,700,,"학술저널
",,171-172,,,, KISS,,,,,short_abstract
구어 텍스트를 활용한 한국어 어휘 교육,문금현(Keum Hyun Moon),국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.11No.2[2000]
",2000,,,710,KCI등재,"학술저널
",http://www.iakle.com,21-61,,,, 스콜라,,,,"1. 머리말
2. 어휘 교육의 방법
3. 외국인이 학습해야 할 구어 어휘 및 표현
4. 결론
참고문헌
",short_abstract
한국어교육용 고급 어휘 선정에 대한 연구 = A Study on Selection of Advanced Level Vocabulary with Korean Educational Purpose,강현화 ( Hyoun Hwa Kang ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.42No.-[2015]
",2015,,"어휘,고급,빈도,범위,vocabulary,advanced level,frequency,range",700,KCI등재,"학술저널
",,1-28,7,,," KCI, &nbsp;&nbsp; KISS",연세대학교 학술문화처 도서관,,"The purpose of this study is to select the advanced level of vocabulary for the Korean learners with general purpose. To this end, this study reviews the curriculum of Korean educational institutions and the Korean language proficiency tests and also investigates the vocabulary list regarded as advanced level by previous studies. This study specifically proceeds with selection process of advanced level vocabulary as follows. For advanced level determination, this study first compares the range between a list of vocabulary for Korean education purpose suggested by previous studies and vocabulary used in Korean language materials and Korean language proficiency tests. Then this study prepares the preliminary vocabulary list. Second, this study decides whether or not individual words included in the preliminary list be chosen according to the frequency data of the general corpus, vocabulary list for Korean language education purpose, vocabularies used in the Korean language materials and Korean language proficiency tests. Third, this study verifies the validity of a list selected as advanced level by key vocabulary group. Finally, objective reviews on the vocabulary list are made by the Korean language education professionals, the final list of 4,950 vocabulary is prepared. (Yonsei University)",,short_abstract
한국어 어휘 교육 연구의 동향 분석,이우천,한국어교육학회,한국어교육학회 학술발표논문집(N/A),"Vol.2024No.-[2024]
",2024,,,700,,"학술저널
",,177-192,,,, KISS,,,,,short_abstract
국내 한국어교육기관 교재 어휘 분석 연구1 -양적 분석을 중심으로- = An Analysis of Vocabularies in the Korean Textbooks: Based on Textbooks Used by Intensive Courses in the Korean Language Education Centers,강현화 ( Hyoun Hwa Kang ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.41No.-[2014]
",2014,,"교재,토픽,어휘량,타입,토큰,회귀,textbook,TOPIK,Vocabulary size,type,token,recurrency",700,KCI등재,"학술저널
",,37-60,18,,," KCI, &nbsp;&nbsp; KISS",연세대학교 학술문화처 도서관,,"The purpose of this study is to conduct vocabulary analysis of 66 Korean textbooks used in major Korean language institutes. Since the number of Korean learners with instrumental motivation has been increased significantly, it becomes a very important issue to evaluate their Korean proficiency levels measured through the official assessment of Korean Proficiency Test (TOPIK). Language teaching is subject to certain target learners, and it is necessary to proceed with study on them considering utilization of research results. Especially vocabulary teaching should have focused more on certain target learners not only connecting with learners` needs but also with course topics and communicative functions. In terms of curriculum management and evaluation, it is critical to select vocabulary based on proficiency levels using systematic methods and procedures. In particular, the study of vocabulary selection considering proficiency levels is an essential part of language teaching and learning for the development of Korean Language materials and official proficiency tests. Therefore, this study attempts to analyze vocabulary in Korean textbooks to provide basic data for selection of adequate vocabulary for each of beginner, intermediate and advanced level of learners. A curriculum should be targeted to specific learners. Thus the target of this study is limited to learners with 200 hour-long classes per each level. The length of each level complies with time usually demanded in the standard of each level in TOPIK and general language institutes of Korea. The current study analyzed Korean textbooks from level I to VI as a full set of data published by five different Korean language institutes in 2014.",,short_abstract
외국인을 위한 한국어 어휘 교육 - 무엇을 어떻게 가르칠 것인가 ? = On the Vocabulary Teaching for the Students Learning Korean as a Foreign Language,곽지영(Ji Young Kwak),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.22No.1[1997]
",1997,,,700,KCI등재,"학술저널
",,141-159,,,, KISS,연세대학교 학술문화처 도서관,,N/A,,short_abstract
외국어로서의 한국어 교육을 위한 어휘 교수·학습 방안 제안 - 외국어로서의 독일어 교육의 사례를 중심으로 = Proposals for learning and teaching vocabulary in ‘Korean as a foreign language - based on examples of German as a foreign language,신형욱,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.21No.1[2010]
",2010,Korean,"외국어로서의 독일어,어휘 교수·학습법,내재적 어휘,인지적 어휘연습,상황-화용론적 연습,German as a Foreign Language,methods for learning and teaching vocabulary,mental lexicon,cognitive vocabulary learning,situation-pragmatical vocabulary learning",,KCI등재,"학술저널
",http://www.iakle.com,197-224,11,,," KCI, &nbsp;&nbsp; 스콜라",경희대학교 중앙도서관,,"In the education of German as a Foreign Language learning and teaching vocabulary was often neglected as a task, that the learner was supposed to fulfill mostly by self-study. But due to the development of structural word semantics and lexicography, methods for vocabulary training have been developed systematically. After cognitive psychology and especially the concept of the mental lexicon was introduced into the field of foreign language education, the process of vocabulary learning gained more attention. This process can be divided into three phases: introduction and understanding of vocabulary; practicing and memorizing vocabulary; and activating vocabulary. First, the methods, that are most widely used in each of the three phases, are introduced and explained with examples. This theoretical part is followed by two concrete examples of systematic teaching and learning of vocabulary based on textbooks for German as a Foreign Language.",,short_abstract
"한국어 감정 어휘의 교육 방안 연구: 유의어 외롭다, 쓸쓸하다, 고독하다의 교육 정보 구축을 중심으로 = Korean Emotional Vocabulary Education",이효정 ( Hyo Jeong Lee ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.44No.-[2016]
",2016,,"감정 어휘(Emotional Vocabulary),유의어(Synonym),말뭉치(Corpus),의미 정보(Semantic Information),형태 정보(Morphological Information),이미지화(Imagification)",700,KCI등재,"학술저널
",,281-308,2,,," KCI, &nbsp;&nbsp; KISS",충남대학교 중앙도서관,,"This study, based on the corpus data and dictionary definition of emotional vocabulary possessing a synonymous relation such as “외롭다 (lonely)/ 쓸쓸하다(desolated)/ 고독하다(solitary)”, abstracts the essential semantic characteristics and morphosyntactic information and makes an imagification of the elements, to apply them in education. According to the inquiry into the corpus data, the words “외롭다/ 쓸쓸하다/ 고독하다” are synonyms, which share the semantic feature of “loneliness”. These words express isolation and loneliness, which originates from being separated from another individual. However, “외롭다” refers to isolation coming from a “relationship rupture”, and “쓸쓸하다” means a “lonely emotion caused by lonely and desolated atmosphere and weather, while “고독하다” has the essential significance of “spontaneous and absolute loneliness”. This study summarized the meaning of each word and proposed an educational plan combined with images, explanation and examples. The learners of the Korean language desire to understand in easy way and remember for korean students, therefore, considering this aspect, this synonym education based on images can be considered very effective.",,short_abstract
한국어 감정 어휘의 교육 방안 연구 -감정 어휘 목록 작성과 활용 방안을 중심으로- = Korean Emotional Vocabulary Education,이효정 ( Hyo Jeong Lee ),연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.42No.-[2015]
",2015,,"감정 어휘,목록,분류,확장,emotional vocabulary,list,categorization,expansion",700,KCI등재,"학술저널
",,271-302,6,,," KCI, &nbsp;&nbsp; KISS",연세대학교 학술문화처 도서관,,"This paper is concerned with discussing the definition of Korean Emotional Vocabulary, their list and the educational sequence of which is a important part in Korean vocabulary education. For this work, the emotional vocabulary lists for Korean learners compared to the native speakers’ to make a new list and we gave the definition and limits of appropriate emotional vocabulary in Korean education in the process. Finally, we make a list a total of 196 emotion vocabulary. After selection of the 196 emotion vocabulary was divided into positive and negative sets. They can be changed the parts of speech such as combined the suffix ‘-hada’, ‘-daeda’ or ‘-srupda’. This study establish the instructor training sequence, is expected to help to extend the vocabulary. As a result, the Korean learners become widen the perspective to understand Korea and Korean culture. (Sangmyung University)",,short_abstract
학문 목적 한국어 학습자 대상 교육용 어휘 선정을 위한 기초 연구 -학문 목적 한국어 교재에 나타난 어휘의 양적 분석을 중심으로- = Basic Study on Selecting Educational Vocabularies for Korean Student of Academic Purpose: A Study on the Quantitative Analysis of Vocabulary in Korean Textbooks,"김한근 ( Kim,Han-geun )",연세대학교 언어연구교육원 한국어학당,외국어로서의 한국어교육(Teaching Korean as a Foreign Language),"Vol.56No.-[2020]
",2020,,"한국어교육,학문 목적 한국어교육,어휘 선정,학문 목적 한국어 교재,양적 분석,Korean education,Korean for academic purpose,selecting educational vocabularies,academic purposes Korean textbooks,quantitative analysis",700,KCI등재,"학술저널
",,27-50,1,,," KCI, &nbsp;&nbsp; KISS",,,"This study aims at basic research for selecting educational vocabulary for Korean learners for academic purposes by comparing Korean textbooks for academic purpose with the vocabulary list presented in 'Developing Korean Vocabulary Education Contents'. As a result of the quantitative analysis of academic purpose textbooks and proficiency vocabulary, a 233 vocabulary did not match the list of “Developing Korean Vocabulary Education Contents” and the vocabulary was reclassified as subjects by mastery level. There were 59 intermediate vocabulary words, and according to themes, many vocabulary related to 'health', 'school life', 'computer and internet'. In addition, there are 174 high-level vocabularies and many topics are included in ‘education’, ‘economics and management’. As a result, this analysis is meaningful in that it establishes basic data for selecting educational vocabulary for academic purposes.",,short_abstract
학문 목적의 한국어 학습자를 위한 어휘 교육의 내용 연구 = A Study on the Contents of Vocabulary Education for Korean Students of Academic Purpose.,신명선,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.17No.1[2006]
",2006,Korean,"한국어 교육,학문 목적 한국어,어휘 교육,어휘 교육 내용,어휘 능력,사고도구어,전문어,Korean education,KAP,Korean for academic purpose,vocabulary education,the contents of vocabulary education,lexical competence,academic vocabulary,technical vocabulary",,KCI등재,"학술저널
",http://www.iakle.com,237-264,55,,," KCI, &nbsp;&nbsp; 스콜라",,,"This paper attempts to demonstrate the contents of vocabulary education for academic purpose. The object of Korean education for academic purpose is not BICS(basic interpersonal communication skill) but CALP(cognitive academic language proficiency). The object of vocabulary education for academic purpose is the extension of lexical competence (specially symbolic competence). 
The essential element of vocabulary education for academic purpose is academic vocabulary. Basic vocabulary is the essential element of vocabulary education for general purpose. Technical vocabulary is the essential element of vocabulary education for occupational purpose. Of course, basic vocabulary and technical vocabulary contributes to vocabulary education for academic purpose. But they is not essential. Because academic vocabulary is most frequently used words in academic texts. 
The contents of vocabulary education for academic purpose consists for ‘comprehension and activity’ about vocabulary. Learners comprehend the information of each of vocabulary and the relations of words. And they have to speech, listen, read, write with words in academic cultural situation.",,short_abstract
한국어 어휘의 특성에 따른 교육방안,박배식,한국어교육연구학회,한국어교육연구(The Journal of Korean  Education Research),"Vol.-No.17[2022]
",2022,,"한국어 어휘,어휘의 특성,어휘 교육 방안",810,KCI등재후보,"학술저널
",,23-45,,,, 스콜라,,,,,short_abstract
어휘적 접근법을 통한 한국어 교육 방안 = The Lexical Approach to Korean Language Teaching.,Angela Lee-Smith,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.17No.1[2006]
",2006,Korean,"The Lexical Approach,lexis,a language learning theory,‘Noticing and Awareness’,Observation-Hypothesis-Experiment methodology,exically focused teaching-learning materials,어휘적 접근법,어휘,‘인지와 인식’ 언어 학습이론,O-H-E 방법론,어휘에 초점을 둔 교수-학습 자료",,KCI등재,"학술저널
",http://www.iakle.com,459-497,14,,," KCI, &nbsp;&nbsp; 스콜라",,,"This study aims to find how to implement the Lexical Approach into Korean Language Teaching. As D. Wilkins pointed out: “Without grammar, little can be conveyed; without vocabulary, nothing can be conveyed.” - and this clearly reflects the important role of lexis in language learning. The communication of meaning is placed at the center of language and language learning. This naturally leads to much more emphasis on the main carrier of meaning, lexis (not only just words but also multi-word chunks). Therefore, the concept of a vocabulary should be extended from words to lexis. This paper develops the O-H-E methodology that includes a language learning theory, ‘Noticing and Awareness’. Also, some lexically focused teaching-learning materials are presented as samples. They can be applied to the structure, planning, and implementation of lexically-focused language courses. The changes of mind-set in both content and methodology which implementing the Lexical Approach involves do not mean a radical shift. Rather, they are easily adopted in day-to-day language classes.",,short_abstract
외국인 학습자의 한국어 어휘 지식 평가를 통한 어휘 교육 방안 연구 -질적 지식의 평가를 중심으로- = Vocabulary Education Plan Research through Foreign Learners' Korean Vocabulary Knowledge Assessment;Focusing on Assessment of Qualitative Knowledge,이유경,국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.23No.1[2012]
",2012,Korean,"한국어 어휘 지식 평가,한국어 어휘의 질적 지식,통합적-분석적 어휘 지식,Korean Vocabulary Knowledge Assessment,quantitative knowledge of korean vocabulary,integrated and analytical knowledge",,KCI등재,"학술저널
",http://www.iakle.com,161-182,7,,," KCI, &nbsp;&nbsp; 스콜라",경희대학교 중앙도서관,,"The purpose of this study is to examine level of individual foreign learners' quantitative knowledge of korean vocabulary through the Foreign Learners' Korean Vocabulary Knowledge Assessment and to propose a vocabulary education plan reflecting the result.
This assessment was written in focus of semantic relation to identify category, integrated and analytical knowledge of Korean verbs acquired by foreign learners and as a result, the following educational implications were made. First, the learners' knowledge about the vocabulary combinational relationship was very limited. Second, learners are not interested in vocabulary's synonymous relation and antonymous relations. Lastly, there needs to be a concern about postpositional particle-use education.
The results of these kinds of research, observes the learners vocabulary acquisition process to determine Korean textbook and present vocabulary level in appropriate in terms of learners' perspective, and provide an opportunity to check if current professors' method is adequate and valid.",,short_abstract
"한국어 숙달도 배양을 위한 문화적 어휘, 표현의 교육",박영준(Young Jun Park),국제한국어교육학회,한국어 교육(Journal of Korean Language Education),"Vol.11No.2[2000]
",2000,,,710,KCI등재,"학술저널
",http://www.iakle.com,89-110,,,, 스콜라,,,,"1. 서론
2. 문화 교육과 어휘·표현 교육
3. 문화적 어휘·표현의 내용
4. 결론
참고문헌
",short_abstract
